threshold,review_queue_volume,precision,recall,review_cost,missed_fraud_loss,total_cost,is_chosen_t_star,is_naive_default
0.000000,9000,0.015667,1.000000,72000.000000,0.000000,72000.000000,False,False
0.000012,9000,0.015667,1.000000,72000.000000,0.000000,72000.000000,False,False
0.000028,8977,0.015707,1.000000,71816.000000,0.000000,71816.000000,False,False
0.000039,8954,0.015747,1.000000,71632.000000,0.000000,71632.000000,False,False
0.000049,8932,0.015786,1.000000,71456.000000,0.000000,71456.000000,False,False
0.000055,8909,0.015827,1.000000,71272.000000,0.000000,71272.000000,False,False
0.000061,8887,0.015866,1.000000,71096.000000,0.000000,71096.000000,False,False
0.000068,8864,0.015907,1.000000,70912.000000,0.000000,70912.000000,False,False
0.000076,8842,0.015947,1.000000,70736.000000,0.000000,70736.000000,False,False
0.000080,8819,0.015988,1.000000,70552.000000,0.000000,70552.000000,False,False
0.000084,8797,0.016028,1.000000,70376.000000,0.000000,70376.000000,False,False
0.000092,8774,0.016070,1.000000,70192.000000,0.000000,70192.000000,False,False
0.000097,8751,0.016112,1.000000,70008.000000,0.000000,70008.000000,False,False
0.000102,8729,0.016153,1.000000,69832.000000,0.000000,69832.000000,False,False
0.000108,8706,0.016196,1.000000,69648.000000,0.000000,69648.000000,False,False
0.000113,8684,0.016237,1.000000,69472.000000,0.000000,69472.000000,False,False
0.000117,8661,0.016280,1.000000,69288.000000,0.000000,69288.000000,False,False
0.000123,8639,0.016321,1.000000,69112.000000,0.000000,69112.000000,False,False
0.000127,8616,0.016249,0.992908,68928.000000,12.780000,68940.780000,False,False
0.000133,8594,0.016290,0.992908,68752.000000,12.780000,68764.780000,False,False
0.000138,8571,0.016334,0.992908,68568.000000,12.780000,68580.780000,False,False
0.000142,8548,0.016378,0.992908,68384.000000,12.780000,68396.780000,False,False
0.000148,8526,0.016420,0.992908,68208.000000,12.780000,68220.780000,False,False
0.000151,8503,0.016465,0.992908,68024.000000,12.780000,68036.780000,False,False
0.000159,8481,0.016507,0.992908,67848.000000,12.780000,67860.780000,False,False
0.000163,8458,0.016552,0.992908,67664.000000,12.780000,67676.780000,False,False
0.000166,8436,0.016596,0.992908,67488.000000,12.780000,67500.780000,False,False
0.000171,8413,0.016641,0.992908,67304.000000,12.780000,67316.780000,False,False
0.000176,8391,0.016685,0.992908,67128.000000,12.780000,67140.780000,False,False
0.000180,8368,0.016730,0.992908,66944.000000,12.780000,66956.780000,False,False
0.000184,8345,0.016777,0.992908,66760.000000,12.780000,66772.780000,False,False
0.000189,8323,0.016821,0.992908,66584.000000,12.780000,66596.780000,False,False
0.000193,8300,0.016867,0.992908,66400.000000,12.780000,66412.780000,False,False
0.000197,8278,0.016912,0.992908,66224.000000,12.780000,66236.780000,False,False
0.000202,8255,0.016959,0.992908,66040.000000,12.780000,66052.780000,False,False
0.000207,8233,0.017005,0.992908,65864.000000,12.780000,65876.780000,False,False
0.000212,8210,0.017052,0.992908,65680.000000,12.780000,65692.780000,False,False
0.000216,8188,0.017098,0.992908,65504.000000,12.780000,65516.780000,False,False
0.000221,8165,0.017146,0.992908,65320.000000,12.780000,65332.780000,False,False
0.000227,8142,0.017195,0.992908,65136.000000,12.780000,65148.780000,False,False
0.000233,8120,0.017241,0.992908,64960.000000,12.780000,64972.780000,False,False
0.000237,8097,0.017290,0.992908,64776.000000,12.780000,64788.780000,False,False
0.000241,8075,0.017337,0.992908,64600.000000,12.780000,64612.780000,False,False
0.000247,8052,0.017387,0.992908,64416.000000,12.780000,64428.780000,False,False
0.000254,8030,0.017435,0.992908,64240.000000,12.780000,64252.780000,False,False
0.000259,8007,0.017485,0.992908,64056.000000,12.780000,64068.780000,False,False
0.000266,7985,0.017533,0.992908,63880.000000,12.780000,63892.780000,False,False
0.000271,7962,0.017584,0.992908,63696.000000,12.780000,63708.780000,False,False
0.000276,7939,0.017634,0.992908,63512.000000,12.780000,63524.780000,False,False
0.000281,7917,0.017683,0.992908,63336.000000,12.780000,63348.780000,False,False
0.000287,7894,0.017735,0.992908,63152.000000,12.780000,63164.780000,False,False
0.000291,7872,0.017785,0.992908,62976.000000,12.780000,62988.780000,False,False
0.000296,7849,0.017837,0.992908,62792.000000,12.780000,62804.780000,False,False
0.000301,7827,0.017887,0.992908,62616.000000,12.780000,62628.780000,False,False
0.000306,7804,0.017940,0.992908,62432.000000,12.780000,62444.780000,False,False
0.000312,7782,0.017990,0.992908,62256.000000,12.780000,62268.780000,False,False
0.000320,7759,0.018044,0.992908,62072.000000,12.780000,62084.780000,False,False
0.000326,7736,0.018097,0.992908,61888.000000,12.780000,61900.780000,False,False
0.000332,7714,0.018149,0.992908,61712.000000,12.780000,61724.780000,False,False
0.000337,7691,0.018203,0.992908,61528.000000,12.780000,61540.780000,False,False
0.000344,7669,0.018255,0.992908,61352.000000,12.780000,61364.780000,False,False
0.000349,7646,0.018310,0.992908,61168.000000,12.780000,61180.780000,False,False
0.000353,7624,0.018363,0.992908,60992.000000,12.780000,61004.780000,False,False
0.000357,7601,0.018419,0.992908,60808.000000,12.780000,60820.780000,False,False
0.000365,7579,0.018472,0.992908,60632.000000,12.780000,60644.780000,False,False
0.000369,7556,0.018528,0.992908,60448.000000,12.780000,60460.780000,False,False
0.000378,7533,0.018585,0.992908,60264.000000,12.780000,60276.780000,False,False
0.000382,7511,0.018639,0.992908,60088.000000,12.780000,60100.780000,False,False
0.000386,7488,0.018697,0.992908,59904.000000,12.780000,59916.780000,False,False
0.000390,7466,0.018752,0.992908,59728.000000,12.780000,59740.780000,False,False
0.000395,7443,0.018810,0.992908,59544.000000,12.780000,59556.780000,False,False
0.000400,7421,0.018865,0.992908,59368.000000,12.780000,59380.780000,False,False
0.000406,7398,0.018924,0.992908,59184.000000,12.780000,59196.780000,False,False
0.000414,7376,0.018980,0.992908,59008.000000,12.780000,59020.780000,False,False
0.000421,7353,0.019040,0.992908,58824.000000,12.780000,58836.780000,False,False
0.000428,7331,0.019097,0.992908,58648.000000,12.780000,58660.780000,False,False
0.000433,7308,0.019157,0.992908,58464.000000,12.780000,58476.780000,False,False
0.000438,7285,0.019218,0.992908,58280.000000,12.780000,58292.780000,False,False
0.000445,7263,0.019276,0.992908,58104.000000,12.780000,58116.780000,False,False
0.000455,7240,0.019337,0.992908,57920.000000,12.780000,57932.780000,False,False
0.000463,7218,0.019396,0.992908,57744.000000,12.780000,57756.780000,False,False
0.000471,7195,0.019458,0.992908,57560.000000,12.780000,57572.780000,False,False
0.000477,7173,0.019518,0.992908,57384.000000,12.780000,57396.780000,False,False
0.000484,7150,0.019580,0.992908,57200.000000,12.780000,57212.780000,False,False
0.000495,7128,0.019641,0.992908,57024.000000,12.780000,57036.780000,False,False
0.000506,7105,0.019704,0.992908,56840.000000,12.780000,56852.780000,False,False
0.000512,7082,0.019768,0.992908,56656.000000,12.780000,56668.780000,False,False
0.000520,7060,0.019830,0.992908,56480.000000,12.780000,56492.780000,False,False
0.000526,7037,0.019895,0.992908,56296.000000,12.780000,56308.780000,False,False
0.000533,7015,0.019957,0.992908,56120.000000,12.780000,56132.780000,False,False
0.000541,6992,0.020023,0.992908,55936.000000,12.780000,55948.780000,False,False
0.000548,6970,0.019943,0.985816,55760.000000,40.100000,55800.100000,False,False
0.000557,6947,0.020009,0.985816,55576.000000,40.100000,55616.100000,False,False
0.000566,6925,0.020072,0.985816,55400.000000,40.100000,55440.100000,False,False
0.000574,6902,0.020139,0.985816,55216.000000,40.100000,55256.100000,False,False
0.000580,6879,0.020206,0.985816,55032.000000,40.100000,55072.100000,False,False
0.000588,6857,0.020271,0.985816,54856.000000,40.100000,54896.100000,False,False
0.000594,6834,0.020339,0.985816,54672.000000,40.100000,54712.100000,False,False
0.000601,6812,0.020405,0.985816,54496.000000,40.100000,54536.100000,False,False
0.000609,6789,0.020474,0.985816,54312.000000,40.100000,54352.100000,False,False
0.000617,6767,0.020541,0.985816,54136.000000,40.100000,54176.100000,False,False
0.000627,6744,0.020611,0.985816,53952.000000,40.100000,53992.100000,False,False
0.000635,6722,0.020678,0.985816,53776.000000,40.100000,53816.100000,False,False
0.000647,6699,0.020749,0.985816,53592.000000,40.100000,53632.100000,False,False
0.000655,6676,0.020821,0.985816,53408.000000,40.100000,53448.100000,False,False
0.000661,6654,0.020890,0.985816,53232.000000,40.100000,53272.100000,False,False
0.000668,6631,0.020962,0.985816,53048.000000,40.100000,53088.100000,False,False
0.000677,6609,0.021032,0.985816,52872.000000,40.100000,52912.100000,False,False
0.000686,6586,0.021105,0.985816,52688.000000,40.100000,52728.100000,False,False
0.000694,6564,0.021176,0.985816,52512.000000,40.100000,52552.100000,False,False
0.000700,6541,0.021251,0.985816,52328.000000,40.100000,52368.100000,False,False
0.000711,6519,0.021322,0.985816,52152.000000,40.100000,52192.100000,False,False
0.000720,6496,0.021398,0.985816,51968.000000,40.100000,52008.100000,False,False
0.000731,6473,0.021474,0.985816,51784.000000,40.100000,51824.100000,False,False
0.000743,6451,0.021547,0.985816,51608.000000,40.100000,51648.100000,False,False
0.000752,6428,0.021624,0.985816,51424.000000,40.100000,51464.100000,False,False
0.000763,6406,0.021698,0.985816,51248.000000,40.100000,51288.100000,False,False
0.000772,6383,0.021777,0.985816,51064.000000,40.100000,51104.100000,False,False
0.000779,6361,0.021852,0.985816,50888.000000,40.100000,50928.100000,False,False
0.000794,6338,0.021931,0.985816,50704.000000,40.100000,50744.100000,False,False
0.000803,6316,0.022008,0.985816,50528.000000,40.100000,50568.100000,False,False
0.000815,6293,0.022088,0.985816,50344.000000,40.100000,50384.100000,False,False
0.000824,6270,0.022169,0.985816,50160.000000,40.100000,50200.100000,False,False
0.000834,6248,0.022247,0.985816,49984.000000,40.100000,50024.100000,False,False
0.000844,6225,0.022329,0.985816,49800.000000,40.100000,49840.100000,False,False
0.000853,6203,0.022409,0.985816,49624.000000,40.100000,49664.100000,False,False
0.000863,6180,0.022492,0.985816,49440.000000,40.100000,49480.100000,False,False
0.000873,6158,0.022572,0.985816,49264.000000,40.100000,49304.100000,False,False
0.000884,6135,0.022657,0.985816,49080.000000,40.100000,49120.100000,False,False
0.000893,6113,0.022738,0.985816,48904.000000,40.100000,48944.100000,False,False
0.000904,6090,0.022824,0.985816,48720.000000,40.100000,48760.100000,False,False
0.000915,6067,0.022911,0.985816,48536.000000,40.100000,48576.100000,False,False
0.000933,6045,0.022994,0.985816,48360.000000,40.100000,48400.100000,False,False
0.000946,6022,0.023082,0.985816,48176.000000,40.100000,48216.100000,False,False
0.000954,6000,0.023167,0.985816,48000.000000,40.100000,48040.100000,False,False
0.000972,5977,0.023256,0.985816,47816.000000,40.100000,47856.100000,False,False
0.000985,5955,0.023342,0.985816,47640.000000,40.100000,47680.100000,False,False
0.000995,5932,0.023432,0.985816,47456.000000,40.100000,47496.100000,False,False
0.001007,5910,0.023519,0.985816,47280.000000,40.100000,47320.100000,False,False
0.001019,5887,0.023441,0.978723,47096.000000,65.550000,47161.550000,False,False
0.001032,5865,0.023529,0.978723,46920.000000,65.550000,46985.550000,False,False
0.001047,5842,0.023622,0.978723,46736.000000,65.550000,46801.550000,False,False
