round,arm,model_updated,pool_n,pool_labelled_prevalence,pool_true_prevalence,n_alerts,n_reviewed,n_fraud_reviewed,round_fraud,round_known_fraud,observed_recall,label_coverage,false_negative_labels_cum,test_pr_auc,test_ece,test_recall_at_t0,test_alerts_at_t0,test_cost_at_t0
0,full_labels,True,24000,0.014250,0.014250,0,0,0,0,0,,,0,0.269766,0.003049,0.611111,651,8938.070000
0,chargeback,True,24000,0.014250,0.014250,0,0,0,0,0,,,0,0.269766,0.003049,0.611111,651,8938.070000
0,assume_legit,True,24000,0.014250,0.014250,0,0,0,0,0,,,0,0.269766,0.003049,0.611111,651,8938.070000
0,reviewed_only,True,24000,0.014250,0.014250,0,0,0,0,0,,,0,0.269766,0.003049,0.611111,651,8938.070000
1,full_labels,True,33000,0.014424,0.014424,674,100,31,134,134,0.231343,1.000000,0,0.264103,0.002778,0.619048,724,9418.410000
1,chargeback,True,33000,0.013909,0.014424,674,100,31,134,117,0.264957,0.873134,17,0.262705,0.003801,0.587302,632,9299.010000
1,assume_legit,True,33000,0.011303,0.014424,674,100,31,134,31,1.000000,0.231343,103,0.271298,0.011623,0.373016,133,9295.560000
1,reviewed_only,True,24100,0.015477,0.015477,674,100,31,134,31,1.000000,0.231343,0,0.268063,0.002349,0.619048,697,9202.410000
2,full_labels,True,42000,0.014381,0.014381,697,100,28,128,128,0.218750,1.000000,0,0.262039,0.004219,0.666667,865,9638.770000
2,chargeback,True,42000,0.013452,0.014381,615,100,28,128,106,0.264151,0.828125,39,0.263055,0.002583,0.619048,696,9150.880000
2,assume_legit,True,42000,0.009595,0.014381,102,100,30,128,30,1.000000,0.234375,201,0.272685,0.011275,0.420635,158,8112.000000
2,reviewed_only,True,24200,0.016529,0.016529,674,100,27,128,27,1.000000,0.210938,0,0.267697,0.002660,0.611111,699,9322.070000
3,full_labels,True,51000,0.014608,0.014608,879,100,44,141,141,0.312057,1.000000,0,0.268035,0.003124,0.634921,806,9911.390000
3,chargeback,True,51000,0.013588,0.014608,696,100,43,141,128,0.335938,0.907801,52,0.272518,0.002555,0.626984,731,9288.770000
3,assume_legit,True,51000,0.008882,0.014608,160,100,50,141,50,1.000000,0.354610,292,0.272437,0.009993,0.436508,197,8219.960000
3,reviewed_only,True,24300,0.018189,0.018189,708,100,42,141,42,1.000000,0.297872,0,0.270633,0.003120,0.626984,746,9371.680000
