queue_rank,timestamp,amount,merchant_cat,p_fraud_calibrated,score_logit,baseline_logit,reasons_to_cross_threshold,reason_1,contribution_1,reason_2,contribution_2,reason_3,contribution_3,reason_4,contribution_4,is_fraud_observed
1,2025-12-14 04:17:38,817.520000,digital_goods,0.810592,1.755211,-0.509021,2,transaction_amount,1.031913,account_age,0.532844,merchant_category,0.506674,time_of_day,0.383273,0
2,2025-12-20 00:29:47,727.890000,electronics,0.781650,1.700955,-0.509021,2,transaction_amount,0.992653,device_change,0.690969,time_of_day,0.378426,merchant_category,0.238496,1
3,2025-12-18 12:19:05,1025.670000,gift_cards,0.385567,1.171825,-0.509021,1,transaction_amount,1.108599,merchant_category,0.691606,velocity_24h,0.059474,,,1
4,2025-12-21 14:16:32,723.400000,gift_cards,0.526621,1.345812,-0.509021,1,transaction_amount,0.990561,merchant_category,0.691606,velocity_24h,0.380006,,,1
5,2025-12-20 04:19:29,611.260000,gift_cards,0.555005,1.380554,-0.509021,2,transaction_amount,0.933614,merchant_category,0.691606,time_of_day,0.383273,,,1
6,2025-12-16 08:39:21,359.960000,gift_cards,0.923734,2.071343,-0.509021,3,transaction_amount,0.754589,merchant_category,0.691606,device_change,0.690969,account_age,0.512980,1
7,2025-12-19 03:29:24,450.040000,digital_goods,0.732508,1.619541,-0.509021,2,transaction_amount,0.830098,merchant_category,0.506674,velocity_24h,0.486850,time_of_day,0.380515,1
8,2025-12-19 03:05:53,581.420000,digital_goods,0.550599,1.375138,-0.509021,2,transaction_amount,0.916693,merchant_category,0.506674,time_of_day,0.380515,velocity_24h,0.166318,0
9,2025-12-13 22:36:19,1091.270000,grocery,0.265689,1.004507,-0.509021,1,transaction_amount,1.129559,device_change,0.690969,velocity_24h,0.166318,,,0
10,2025-12-12 11:57:13,534.930000,electronics,0.516780,1.333827,-0.509021,2,transaction_amount,0.888518,device_change,0.690969,merchant_category,0.238496,velocity_24h,0.166318,1
11,2025-12-26 17:21:02,363.720000,gift_cards,0.697181,1.566826,-0.509021,2,transaction_amount,0.758102,merchant_category,0.691606,account_age,0.515517,velocity_24h,0.273162,1
12,2025-12-28 16:23:41,263.620000,digital_goods,0.906381,2.003282,-0.509021,3,device_change,0.690969,transaction_amount,0.649281,account_age,0.514968,merchant_category,0.506674,1
13,2025-12-18 02:37:06,401.610000,restaurants,0.522842,1.341208,-0.509021,2,transaction_amount,0.791605,account_age,0.535195,time_of_day,0.378718,velocity_24h,0.273162,1
14,2025-12-26 23:40:15,404.570000,gift_cards,0.514165,1.330646,-0.509021,2,transaction_amount,0.794088,merchant_category,0.691606,device_change,0.690969,,,1
15,2025-12-13 01:03:49,446.370000,gift_cards,0.457999,1.262252,-0.509021,2,transaction_amount,0.827329,merchant_category,0.691606,time_of_day,0.378006,,,1
16,2025-12-25 01:34:09,589.340000,grocery,0.344838,1.118397,-0.509021,1,transaction_amount,0.921268,velocity_24h,0.700538,time_of_day,0.378006,,,0
17,2025-12-25 05:31:29,599.520000,digital_goods,0.332556,1.101733,-0.509021,1,transaction_amount,0.927058,merchant_category,0.506674,time_of_day,0.386805,,,0
18,2025-12-19 04:26:49,288.300000,electronics,0.654943,1.508157,-0.509021,2,device_change,0.690969,transaction_amount,0.679537,time_of_day,0.383273,merchant_category,0.238496,0
19,2025-12-20 15:20:24,342.930000,gift_cards,0.494926,1.307257,-0.509021,2,transaction_amount,0.738203,merchant_category,0.691606,device_change,0.690969,,,1
20,2025-12-25 00:50:59,428.640000,gift_cards,0.351947,1.127913,-0.509021,1,transaction_amount,0.813627,merchant_category,0.691606,time_of_day,0.378426,,,1
21,2025-12-29 22:36:09,408.360000,gift_cards,0.358173,1.136174,-0.509021,1,transaction_amount,0.797240,merchant_category,0.691606,velocity_24h,0.380006,,,1
22,2025-12-23 18:30:59,694.980000,gift_cards,0.205627,0.902744,-0.509021,1,transaction_amount,0.977011,merchant_category,0.691606,,,,,1
23,2025-12-27 16:45:52,286.170000,gift_cards,0.487439,1.298154,-0.509021,2,merchant_category,0.691606,transaction_amount,0.677030,account_age,0.538073,velocity_24h,0.059474,1
24,2025-12-24 16:17:18,1098.060000,electronics,0.123249,0.717223,-0.509021,1,transaction_amount,1.131656,merchant_category,0.238496,velocity_24h,0.059474,,,0
25,2025-12-23 02:18:11,218.190000,digital_goods,0.597940,1.434027,-0.509021,2,transaction_amount,0.585335,account_age,0.555949,merchant_category,0.506674,time_of_day,0.378718,0
26,2025-12-24 00:37:56,464.490000,grocery,0.277889,1.023240,-0.509021,1,transaction_amount,0.840782,device_change,0.690969,time_of_day,0.378426,,,0
27,2025-12-19 20:58:30,223.330000,gift_cards,0.571848,1.401363,-0.509021,2,merchant_category,0.691606,transaction_amount,0.593207,account_age,0.527616,velocity_24h,0.273162,1
28,2025-12-14 04:07:14,236.180000,electronics,0.531973,1.352340,-0.509021,2,device_change,0.690969,transaction_amount,0.612121,time_of_day,0.383273,merchant_category,0.238496,0
29,2025-12-15 05:05:36,320.850000,electronics,0.378354,1.162540,-0.509021,2,transaction_amount,0.715703,account_age,0.521029,time_of_day,0.386805,merchant_category,0.238496,1
30,2025-12-25 23:56:19,181.950000,electronics,0.627787,1.472268,-0.509021,1,velocity_24h,1.448447,transaction_amount,0.523928,merchant_category,0.238496,,,0
31,2025-12-22 05:47:13,186.590000,gift_cards,0.601848,1.438976,-0.509021,2,merchant_category,0.691606,transaction_amount,0.532441,account_age,0.527616,time_of_day,0.386805,0
32,2025-12-18 02:11:51,460.130000,restaurants,0.229167,0.944822,-0.509021,1,transaction_amount,0.837594,account_age,0.520196,time_of_day,0.378718,,,0
33,2025-12-22 08:33:43,633.400000,digital_goods,0.163756,0.817947,-0.509021,1,transaction_amount,0.945643,merchant_category,0.506674,velocity_24h,0.059474,,,1
34,2025-12-14 03:48:38,154.150000,digital_goods,0.650617,1.502357,-0.509021,3,account_age,0.526257,merchant_category,0.506674,transaction_amount,0.467872,time_of_day,0.380515,1
35,2025-12-27 04:19:43,379.990000,electronics,0.242612,0.967493,-0.509021,1,transaction_amount,0.772897,time_of_day,0.383273,merchant_category,0.238496,velocity_24h,0.166318,0
36,2025-12-14 03:01:04,269.130000,gift_cards,0.336137,1.106622,-0.509021,2,merchant_category,0.691606,transaction_amount,0.656275,time_of_day,0.380515,,,1
37,2025-12-26 05:05:13,461.570000,grocery,0.195399,0.883353,-0.509021,1,transaction_amount,0.838650,account_age,0.535195,time_of_day,0.386805,,,0
38,2025-12-25 16:27:06,172.300000,gift_cards,0.503116,1.317211,-0.509021,2,merchant_category,0.691606,account_age,0.514968,transaction_amount,0.505504,velocity_24h,0.273162,0
39,2025-12-24 02:31:52,463.110000,restaurants,0.167250,0.825637,-0.509021,1,transaction_amount,0.839776,time_of_day,0.378718,velocity_24h,0.273162,,,0
40,2025-12-29 11:33:14,573.740000,restaurants,0.128182,0.730862,-0.509021,1,transaction_amount,0.912198,account_age,0.516090,velocity_24h,0.059474,,,0
41,2025-12-16 03:35:48,172.260000,digital_goods,0.420524,1.215995,-0.509021,2,account_age,0.522874,merchant_category,0.506674,transaction_amount,0.505426,time_of_day,0.380515,0
42,2025-12-18 04:27:44,152.900000,digital_goods,0.467590,1.273975,-0.509021,2,merchant_category,0.506674,velocity_24h,0.486850,transaction_amount,0.465119,time_of_day,0.383273,0
43,2025-12-15 02:51:10,78.980000,gift_cards,0.893471,1.959667,-0.509021,3,merchant_category,0.691606,device_change,0.690969,account_age,0.512980,time_of_day,0.378718,0
44,2025-12-27 08:39:44,329.960000,fashion,0.213634,0.917432,-0.509021,1,transaction_amount,0.725168,device_change,0.690969,velocity_24h,0.380006,,,1
45,2025-12-12 20:53:03,378.730000,travel,0.184647,0.862121,-0.509021,1,transaction_amount,0.771774,device_change,0.690969,velocity_24h,0.059474,merchant_category,0.025410,0
46,2025-12-19 22:28:16,421.930000,gift_cards,0.164212,0.818959,-0.509021,1,transaction_amount,0.808292,merchant_category,0.691606,velocity_24h,0.059474,,,1
47,2025-12-22 00:54:41,301.620000,digital_goods,0.224563,0.936845,-0.509021,1,transaction_amount,0.694807,merchant_category,0.506674,time_of_day,0.378426,,,0
48,2025-12-21 03:19:41,346.950000,digital_goods,0.188444,0.869726,-0.509021,1,transaction_amount,0.742143,merchant_category,0.506674,time_of_day,0.380515,,,1
49,2025-12-18 02:13:25,736.640000,fuel,0.088471,0.604657,-0.509021,1,transaction_amount,0.996693,time_of_day,0.378718,velocity_24h,0.059474,,,0
50,2025-12-25 04:53:34,295.340000,digital_goods,0.220264,0.929291,-0.509021,1,transaction_amount,0.687694,merchant_category,0.506674,time_of_day,0.383273,,,0
51,2025-12-28 05:54:48,225.070000,gift_cards,0.287391,1.037482,-0.509021,1,merchant_category,0.691606,transaction_amount,0.595831,time_of_day,0.386805,,,0
52,2025-12-13 03:42:39,168.320000,gift_cards,0.384094,1.169934,-0.509021,2,merchant_category,0.691606,transaction_amount,0.497603,time_of_day,0.380515,velocity_24h,0.166318,1
53,2025-12-14 12:26:04,747.710000,electronics,0.082756,0.582469,-0.509021,1,transaction_amount,1.001736,merchant_category,0.238496,velocity_24h,0.059474,,,0
54,2025-12-14 08:27:49,162.190000,gift_cards,0.374224,1.157193,-0.509021,2,velocity_24h,0.700538,merchant_category,0.691606,transaction_amount,0.485061,,,1
55,2025-12-25 04:17:33,96.230000,gift_cards,0.630126,1.475315,-0.509021,2,merchant_category,0.691606,device_change,0.690969,time_of_day,0.383273,transaction_amount,0.308572,0
56,2025-12-13 04:55:36,275.320000,digital_goods,0.216115,0.921901,-0.509021,1,transaction_amount,0.663963,merchant_category,0.506674,time_of_day,0.383273,,,0
57,2025-12-18 02:44:53,272.630000,digital_goods,0.217227,0.923891,-0.509021,1,transaction_amount,0.660643,merchant_category,0.506674,time_of_day,0.378718,,,0
58,2025-12-21 19:27:53,235.820000,restaurants,0.250360,0.980170,-0.509021,1,transaction_amount,0.611605,velocity_24h,0.593694,account_age,0.547011,,,0
59,2025-12-27 01:33:57,313.520000,digital_goods,0.187455,0.867755,-0.509021,1,transaction_amount,0.707890,merchant_category,0.506674,time_of_day,0.378006,,,0
60,2025-12-14 04:35:40,118.950000,gift_cards,0.491120,1.302630,-0.509021,2,merchant_category,0.691606,account_age,0.547011,time_of_day,0.383273,transaction_amount,0.380233,1
61,2025-12-17 00:37:43,111.070000,gift_cards,0.508428,1.323669,-0.509021,2,merchant_category,0.691606,velocity_24h,0.486850,time_of_day,0.378426,transaction_amount,0.357060,0
62,2025-12-28 02:08:13,637.700000,restaurants,0.088342,0.604174,-0.509021,1,transaction_amount,0.947930,time_of_day,0.378718,,,,,0
63,2025-12-22 02:07:18,248.360000,grocery,0.226015,0.939373,-0.509021,1,velocity_24h,0.807382,transaction_amount,0.629122,time_of_day,0.378718,,,0
64,2025-12-14 04:25:55,120.000000,digital_goods,0.464472,1.270168,-0.509021,2,device_change,0.690969,merchant_category,0.506674,time_of_day,0.383273,transaction_amount,0.383204,0
65,2025-12-12 07:19:00,290.180000,digital_goods,0.191008,0.874794,-0.509021,1,transaction_amount,0.681735,account_age,0.519415,merchant_category,0.506674,,,1
66,2025-12-18 04:39:33,126.920000,digital_goods,0.419265,1.214425,-0.509021,2,account_age,0.514968,merchant_category,0.506674,transaction_amount,0.402159,time_of_day,0.383273,0
67,2025-12-15 02:17:29,155.490000,gift_cards,0.339925,1.111767,-0.509021,2,merchant_category,0.691606,transaction_amount,0.470798,time_of_day,0.378718,velocity_24h,0.166318,0
68,2025-12-29 01:14:23,144.390000,digital_goods,0.364786,1.144881,-0.509021,2,account_age,0.513936,merchant_category,0.506674,transaction_amount,0.445758,time_of_day,0.378006,1
69,2025-12-19 17:00:41,274.340000,electronics,0.191456,0.875674,-0.509021,1,device_change,0.690969,transaction_amount,0.662757,merchant_category,0.238496,,,0
70,2025-12-16 17:42:14,125.970000,gift_cards,0.408074,1.200405,-0.509021,1,velocity_24h,0.807382,merchant_category,0.691606,transaction_amount,0.399619,,,0
71,2025-12-15 05:01:06,160.370000,travel,0.318471,1.082236,-0.509021,1,device_change,0.690969,transaction_amount,0.481245,time_of_day,0.386805,velocity_24h,0.059474,0
72,2025-12-18 05:11:04,264.230000,electronics,0.186805,0.866458,-0.509021,1,transaction_amount,0.650063,time_of_day,0.386805,merchant_category,0.238496,velocity_24h,0.166318,0
73,2025-12-23 01:21:07,205.890000,grocery,0.238037,0.959877,-0.509021,1,device_change,0.690969,transaction_amount,0.565718,time_of_day,0.378006,velocity_24h,0.166318,0
74,2025-12-23 07:09:38,270.320000,digital_goods,0.178477,0.849504,-0.509021,1,transaction_amount,0.657766,merchant_category,0.506674,velocity_24h,0.380006,,,0
75,2025-12-22 02:17:18,370.460000,restaurants,0.129952,0.735648,-0.509021,1,transaction_amount,0.764310,time_of_day,0.378718,velocity_24h,0.273162,,,0
76,2025-12-24 04:23:16,112.680000,gift_cards,0.426758,1.223755,-0.509021,2,merchant_category,0.691606,time_of_day,0.383273,velocity_24h,0.380006,transaction_amount,0.361925,1
77,2025-12-28 20:17:53,211.060000,gift_cards,0.227362,0.941708,-0.509021,1,merchant_category,0.691606,transaction_amount,0.574103,account_age,0.514442,,,0
78,2025-12-20 02:34:40,287.590000,digital_goods,0.164227,0.818992,-0.509021,1,transaction_amount,0.678704,merchant_category,0.506674,time_of_day,0.378718,,,0
79,2025-12-28 01:40:06,222.890000,fashion,0.207795,0.906762,-0.509021,1,transaction_amount,0.592541,account_age,0.517981,time_of_day,0.378006,velocity_24h,0.166318,0
80,2025-12-18 04:28:25,121.110000,grocery,0.381447,1.166529,-0.509021,2,device_change,0.690969,account_age,0.547011,transaction_amount,0.386317,time_of_day,0.383273,0
81,2025-12-26 04:59:56,182.630000,gift_cards,0.252735,0.984003,-0.509021,1,merchant_category,0.691606,transaction_amount,0.525189,time_of_day,0.383273,,,0
82,2025-12-27 01:42:09,285.580000,digital_goods,0.158863,0.806957,-0.509021,1,transaction_amount,0.676333,merchant_category,0.506674,time_of_day,0.378006,,,0
83,2025-12-13 05:26:39,456.770000,grocery,0.098733,0.641449,-0.509021,1,transaction_amount,0.835116,time_of_day,0.386805,velocity_24h,0.273162,,,0
84,2025-12-13 07:42:17,253.770000,restaurants,0.177524,0.847524,-0.509021,1,device_change,0.690969,transaction_amount,0.636407,velocity_24h,0.273162,,,0
85,2025-12-24 03:43:10,70.550000,gift_cards,0.629310,1.474251,-0.509021,2,velocity_24h,0.807382,merchant_category,0.691606,time_of_day,0.380515,transaction_amount,0.203624,1
86,2025-12-19 22:37:19,103.240000,gift_cards,0.429689,1.227392,-0.509021,2,merchant_category,0.691606,account_age,0.514968,velocity_24h,0.380006,transaction_amount,0.332344,0
87,2025-12-21 12:53:46,275.160000,gift_cards,0.160510,0.810688,-0.509021,1,merchant_category,0.691606,transaction_amount,0.663766,velocity_24h,0.166318,,,0
88,2025-12-28 04:46:33,181.960000,fuel,0.242475,0.967266,-0.509021,1,device_change,0.690969,transaction_amount,0.523946,time_of_day,0.383273,velocity_24h,0.166318,0
89,2025-12-13 03:10:43,307.310000,restaurants,0.141840,0.766427,-0.509021,1,transaction_amount,0.701126,time_of_day,0.380515,velocity_24h,0.380006,,,0
90,2025-12-20 13:48:32,254.430000,digital_goods,0.167909,0.827072,-0.509021,1,transaction_amount,0.637285,merchant_category,0.506674,velocity_24h,0.380006,,,0
91,2025-12-23 04:24:59,81.550000,digital_goods,0.522676,1.341005,-0.509021,2,device_change,0.690969,merchant_category,0.506674,time_of_day,0.383273,transaction_amount,0.252611,0
92,2025-12-28 04:25:04,651.280000,fuel,0.059581,0.475044,-0.509021,1,transaction_amount,0.955054,time_of_day,0.383273,,,,,0
93,2025-12-29 02:06:45,185.780000,fuel,0.195398,0.883352,-0.509021,1,device_change,0.690969,transaction_amount,0.530971,time_of_day,0.378718,velocity_24h,0.059474,0
94,2025-12-26 04:44:34,174.540000,fuel,0.206386,0.904155,-0.509021,1,account_age,0.523906,transaction_amount,0.509871,time_of_day,0.383273,velocity_24h,0.273162,0
95,2025-12-21 17:34:49,469.940000,travel,0.074028,0.545724,-0.509021,1,transaction_amount,0.844726,velocity_24h,0.380006,merchant_category,0.025410,,,0
96,2025-12-26 01:55:00,237.920000,fashion,0.127865,0.730000,-0.509021,1,transaction_amount,0.614603,account_age,0.532844,time_of_day,0.378006,,,0
97,2025-12-17 22:20:40,156.430000,fashion,0.189985,0.872778,-0.509021,1,device_change,0.690969,velocity_24h,0.593694,transaction_amount,0.472836,,,1
98,2025-12-15 03:21:55,336.580000,travel,0.087196,0.599823,-0.509021,1,transaction_amount,0.731884,time_of_day,0.380515,velocity_24h,0.059474,merchant_category,0.025410,0
99,2025-12-27 12:57:09,211.400000,travel,0.131269,0.739173,-0.509021,1,transaction_amount,0.574647,account_age,0.529135,velocity_24h,0.273162,merchant_category,0.025410,0
100,2025-12-19 20:09:36,630.590000,fashion,0.033832,0.294862,-0.509021,1,transaction_amount,0.944140,velocity_24h,0.273162,,,,,0
